prediction,prediction_label,confidence,method,ml_score,semantic_score,ml_weight,semantic_weight,threshold,semantic_reasons,override_reason,risk_level,contract_name,source,cei_violations
1,VULNERABLE,0.26678913831710815,HYBRID,0.00263041,0.38,0.3,0.7,0.2,"['🚨 CEI violations: 1 (+8% risk)', '⚠️  Low CEI score: 0.00 (+20% risk)', '🚨 State-after-call: 1 (+10% risk)']",,LOW,AccessManagedTarget,openzeppelin,1
1,VULNERABLE,1.0,OVERRIDE,0.011733205,0.8500000000000001,0.3,0.7,0.2,"['🚨 CEI violations: 6 (+40% risk)', '⚠️  Low CEI score: 0.25 (+15% risk)', '🚨 State-after-call: 6 (+30% risk)']",OVERRIDE: 6 CEI violations → VULNERABLE,CRITICAL,AccessManagerMock,openzeppelin,6
1,VULNERABLE,0.26708468794822693,HYBRID,0.0036156524,0.38,0.3,0.7,0.2,"['🚨 CEI violations: 1 (+8% risk)', '⚠️  Low CEI score: 0.00 (+20% risk)', '🚨 State-after-call: 1 (+10% risk)']",,LOW,AccessManaged,openzeppelin,1
1,VULNERABLE,1.0,OVERRIDE,0.041839782,0.8500000000000001,0.3,0.7,0.2,"['🚨 CEI violations: 6 (+40% risk)', '⚠️  Low CEI score: 0.25 (+15% risk)', '🚨 State-after-call: 6 (+30% risk)']",OVERRIDE: 6 CEI violations → VULNERABLE,CRITICAL,AccessManager,openzeppelin,6
1,VULNERABLE,0.2670123875141144,HYBRID,0.0033745896,0.38,0.3,0.7,0.2,"['🚨 CEI violations: 1 (+8% risk)', '⚠️  Low CEI score: 0.00 (+20% risk)', '🚨 State-after-call: 1 (+10% risk)']",,LOW,SignerP256,openzeppelin,1
1,VULNERABLE,0.5657615661621094,HYBRID,0.9992052,0.38,0.3,0.7,0.2,"['🚨 CEI violations: 1 (+8% risk)', '⚠️  Low CEI score: 0.00 (+20% risk)', '🚨 State-after-call: 1 (+10% risk)']",,MEDIUM,lottopollo,smartbugs_curated,1
1,VULNERABLE,0.682111382484436,HYBRID,0.96703804,0.56,0.3,0.7,0.2,"['🚨 CEI violations: 2 (+16% risk)', '⚠️  Low CEI score: 0.00 (+20% risk)', '🚨 State-after-call: 2 (+20% risk)']",,HIGH,ERC20,smartbugs_curated,2
1,VULNERABLE,0.5655968189239502,HYBRID,0.99865615,0.38,0.3,0.7,0.2,"['🚨 CEI violations: 1 (+8% risk)', '⚠️  Low CEI score: 0.00 (+20% risk)', '🚨 State-after-call: 1 (+10% risk)']",,MEDIUM,RaceCondition,trail_of_bits,1
1,VULNERABLE,1.0,OVERRIDE,0.9962387,0.8200000000000001,0.3,0.7,0.2,"['🚨 CEI violations: 4 (+32% risk)', '⚠️  Low CEI score: 0.00 (+20% risk)', '🚨 State-after-call: 4 (+30% risk)']",OVERRIDE: 4 CEI violations → VULNERABLE,CRITICAL,Rubixi,trail_of_bits,4
1,VULNERABLE,0.5657228231430054,HYBRID,0.9990759,0.38,0.3,0.7,0.2,"['🚨 CEI violations: 1 (+8% risk)', '⚠️  Low CEI score: 0.00 (+20% risk)', '🚨 State-after-call: 1 (+10% risk)']",,MEDIUM,KingOfTheEtherThrone,trail_of_bits,1
