contract_id,contract_name,address,file_path,compiler_version,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,complexity_level,failure_reason,error_message,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs
2759,phishable,,data/smartbugs_curated/dataset/access_control/phishable.sol,,smartbugs_curated,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1,1,5,3,1,1,0,1,0,18,1,1,1.0,0,6,0.3333333333333333,1,0,0,0,3,4,0,2,0,5,3,0.0,0.0,20.0,23.200000000000003,True,simple,0,,,6,3,0,2,0.5,False,0,3,3,2,1,1,0.3333333333333333,False,3,0,0.6666666666666666,4,1,2,True,1,2,2.0,2
2760,parity_wallet_bug_1,,data/smartbugs_curated/dataset/access_control/parity_wallet_bug_1.sol,,smartbugs_curated,True,True,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,3,3,66,6,3,7,0,5,3,395,4,1,1.6666666666666667,0,108,0.27341772151898736,1,0,1,0,74,7,0,6,0,17,8,0.0,0.0,111.0,515.1705882352942,True,moderate,1,,,20,16,0,5,0.8,False,3,10,6,1,1,3,0.75,False,5,1,0.16666666666666666,6,7,2,True,3,7,0.6666666666666666,4
2761,arbitrary_location_write_simple,,data/smartbugs_curated/dataset/access_control/arbitrary_location_write_simple.sol,,smartbugs_curated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,6,6,2,2,0,1,0,32,1,1,1.0,0,6,0.1875,1,0,0,0,7,1,0,2,0,4,1,0.0,0.0,21.0,40.425,True,simple,0,,,15,9,0,2,0.6,False,0,6,6,4,1,2,0.3333333333333333,False,6,0,0.6666666666666666,5,2,2,True,0,3,0.0,2
2762,wallet_03_wrong_constructor,,data/smartbugs_curated/dataset/access_control/wallet_03_wrong_constructor.sol,,smartbugs_curated,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,4,2,2,0,1,0,31,1,1,1.0,0,10,0.3225806451612903,1,0,0,0,2,2,0,0,1,3,2,0.0,0.0,4.0,4.533333333333333,False,simple,0,,,12,8,0,3,0.6666666666666666,False,0,4,4,4,1,2,0.3333333333333333,False,4,0,1.0,4,2,2,True,2,2,1.0,2
2763,rubixi,,data/smartbugs_curated/dataset/access_control/rubixi.sol,,smartbugs_curated,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,5,25,19,5,7,1,8,0,125,1,1,2.3157894736842106,0,21,0.168,0,0,0,0,15,16,0,6,4,11,4,0.0,0.0,60.0,142.9090909090909,True,moderate,1,,,99,86,1,12,0.8686868686868687,False,6,44,19,9,2,5,0.35714285714285715,False,16,3,0.47368421052631576,12,7,6,True,5,7,1.2,7
2764,mycontract,,data/smartbugs_curated/dataset/access_control/mycontract.sol,,smartbugs_curated,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1,1,3,2,1,1,0,1,0,18,1,1,1.0,0,7,0.3888888888888889,0,0,0,0,2,3,0,2,0,4,3,0.0,0.0,18.0,18.45,True,simple,0,,,5,3,0,2,0.6,False,0,2,2,1,1,1,0.5,False,2,0,0.5,2,1,1,True,1,2,1.0,1
2765,wallet_02_refund_nosub,,data/smartbugs_curated/dataset/access_control/wallet_02_refund_nosub.sol,,smartbugs_curated,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,5,3,2,0,1,0,35,1,1,1.0,0,11,0.3142857142857143,1,0,0,0,2,2,0,0,1,3,2,0.0,0.0,4.0,4.533333333333333,False,simple,0,,,14,9,0,3,0.6428571428571429,False,0,5,5,4,1,3,0.42857142857142855,False,5,0,0.8,5,2,2,True,3,2,0.6666666666666666,2
2766,incorrect_constructor_name1,,data/smartbugs_curated/dataset/access_control/incorrect_constructor_name1.sol,,smartbugs_curated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,3,1,1,1,1,0,28,1,1,1.0,0,8,0.2857142857142857,1,0,0,0,3,0,0,0,0,2,1,0.0,0.0,3.0,4.5,False,simple,0,,,6,3,0,2,0.5,False,0,3,3,2,1,1,0.3333333333333333,False,3,0,0.6666666666666666,4,1,0,True,1,0,0.0,0
2767,wallet_04_confused_sign,,data/smartbugs_curated/dataset/access_control/wallet_04_confused_sign.sol,,smartbugs_curated,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,4,2,2,0,1,0,32,1,1,1.0,0,11,0.34375,1,0,0,0,2,2,0,0,1,3,2,0.0,0.0,4.0,4.533333333333333,False,simple,0,,,12,8,0,3,0.6666666666666666,False,0,4,4,4,1,2,0.3333333333333333,False,4,0,1.0,4,2,2,True,2,2,1.0,2
2768,multiowned_vulnerable,,data/smartbugs_curated/dataset/access_control/multiowned_vulnerable.sol,,smartbugs_curated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,3,0,2,1,1,0,53,2,1,1.0,0,23,0.4339622641509434,0,0,0,0,4,0,0,0,0,2,1,0.0,0.0,4.0,8.0,False,simple,0,,,12,9,0,4,0.75,False,2,3,3,3,1,0,0.0,False,3,0,1.0,3,2,2,True,0,2,0.0,2
2769,mapping_write,,data/smartbugs_curated/dataset/access_control/mapping_write.sol,,smartbugs_curated,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,0,2,3,1,2,0,3,0,25,1,1,1.6666666666666667,0,7,0.28,0,0,0,0,4,1,0,2,0,4,2,0.0,0.0,22.0,25.85,True,simple,0,,,10,8,0,3,0.8,False,1,5,3,2,1,1,0.3333333333333333,False,3,0,0.6666666666666666,4,2,1,True,1,3,1.0,2
